JDR/ORS	Contractual Code	LautecActivity Group	Lautec Work_Activity (Corresponding)	LautecActivity Group	JDR Work_Activity	Contractual Code	Generic Comments to be added
JDR	EWT	Effective Working Time	ORS TBC	Effective Working Time	Other - (Refer to Comments)	EWT	
JDR	EWT	Effective Working Time	Other (CDT)	Effective Working Time	Waiting on Team Member/s	EWT	
JDR	EWT	Non-Working Time	Waiting on material, equipment or documentation (CDT)	Non-Working Time	Waiting on Material/Equipment	EWT	
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Campaign Mobilisation	NWT	- Onshore/Port activities to prepare for offshore campaign
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Standby - Crew Change Related Activities	NWT	-Heli crew Change
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Standby - Crew Change Related Activities	NWT	-Onboarding
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Port Call (Excluding Transit)	NWT	
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Transit to / from Field	NWT	- Transit to port
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Transit to / from Field	NWT	- Transit to field
ORS	NWT	Non-Working Time	Transit to/from field	Non-Working Time	Transit – Offshore Personnel Transfer	NWT	
ORS	NWT	Non-Working Time	HSE - Other (PPE check, time out for safety, etc.)	Non-Working Time	HSE - Time out for Safety	NWT	-Contractor HSE standby
ORS	NWT	Non-Working Time	HSE - Other (PPE check, time out for safety, etc.)	Non-Working Time	HSE - Time out for Safety	NWT	-Client HSE standby
ORS	NWT	Non-Working Time	Standby (EDT) - Waiting on Transfer / No Work Location Available	Non-Working Time	Work Location Not Available	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Waiting on Transfer / No Work Location Available	Non-Working Time	RTS Delay	NWT	- Client unable to facilitate RTS test following JDR official communication on readiness
ORS	NWT	Non-Working Time	Standby (EDT) - Waiting on Transfer / Transfer of other Scopes	Non-Working Time	Waiting on Transfer (Offshore)	NWT	- Waiting on Transfer to Asset
ORS	NWT	Non-Working Time	Standby (EDT) - Waiting on Transfer / Transfer of other Scopes	Non-Working Time	Waiting on Transfer (Offshore)	NWT	- Waiting on Transfer to Vessel
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Other - (Refer to Comments)	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Delay - Other Vessel Scopes	NWT	- Delays caused by other scopes operating from same vessel as JDR
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Technical Breakdown	NWT	-SOV Technical Breakdown
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Technical Breakdown	NWT	-CTV Technical Breakdown
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on Access	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on Site Services / Infrastructure	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on SAPs / Electrical Safety Docs	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on OCS SWG De-Gassing	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on scaffolding	NWT	-Awaiting errection
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on scaffolding	NWT	-Awaiting modifications
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on scaffolding	NWT	-Awaiting striking
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on scaffolding	NWT	-Awaiting certification
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Waiting on Technical Information	NWT	- Waiting on Employer technical feedback
ORS	NWT	Non-Working Time	Waiting on material, equipment or documentation (EDT)	Non-Working Time	Waiting on Material/Equipment	NWT	
ORS	NWT	Non-Working Time	Standby (EDT) - Other	Non-Working Time	Other - (Refer to Comments)	NWT	
ORS	NWT	Non-Working Time	ORS TBC	Non-Working Time	Client Downtime	NWT	
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Lifting Operations - Offshore	NWT	- SOV Lifting Ops
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Lifting Operations - Offshore	NWT	- CTV Lifting Ops
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Personnel Transfer - Offshore	NWT	- Personnel Transfer to Asset
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Personnel Transfer - Offshore	NWT	- Personnel Transfer to Vessel
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Transfer by CTV	NWT	- Transit to SIP
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Transfer by CTV	NWT	- Transit to OCS
ORS	NWT	Non-Working Time	Standby (LT) - Transfer to / from Location	Non-Working Time	Transfer by CTV	NWT	- Transit to SOV
ORS	NWT	Non-Working Time	ORS TBC	Non-Working Time	Delay - Late Collection by Previous Shift	NWT	- Team completed previous shift late and suitable rest required
ORS	WDT	Non-Working Time	Standby (WDT) - Weather downtime	Non-Working Time	Waiting on Weather	WDT	-Standby on location due to weather
ORS	WDT	Non-Working Time	Standby (WDT) - Weather downtime	Non-Working Time	Waiting on Weather	WDT	-Standby on vessel due to weather
JDR	EWT	Re-Work	Mobilisation	Re-Work	Re-Work	EWT	Mobilisation
JDR	EWT	Re-Work	Pre-Termination Testing	Re-Work	Re-Work	EWT	Pre-Termination Testing
JDR	EWT	Re-Work	Pre-Works SIP Set up / Asset protection	Re-Work	Re-Work	EWT	Pre-Works SIP Set up / Asset protection
JDR	EWT	Re-Work	Mechanical - Cable stripping	Re-Work	Re-Work	EWT	Mechanical - Cable stripping
JDR	EWT	Re-Work	Mechanical - Hang-off	Re-Work	Re-Work	EWT	Mechanical - Hang-off
JDR	EWT	Re-Work	Electrical - Cable routing	Re-Work	Re-Work	EWT	Electrical - Cable routing
JDR	EWT	Re-Work	Electrical - Termination	Re-Work	Re-Work	EWT	Electrical - Termination
